"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)"
7.877650200E-1;5.236758540E1;4.878419500E0;4.525724646E0;0.000000000E0;0.000000000E0;1.774699974E1;1.942059875E0
2.081376502E1;5.236759390E1;4.878399900E0;4.525725276E0;0.000000000E0;0.000000000E0;1.746500015E1;2.174672604E0
4.080676502E1;5.236758390E1;4.878404100E0;4.525713616E0;0.000000000E0;0.000000000E0;1.887700081E1;2.142943621E0
6.080276502E1;5.236757750E1;4.878410800E0;4.525708476E0;0.000000000E0;0.000000000E0;1.838800049E1;1.768486738E0
8.084576502E1;5.236759310E1;4.878380000E0;4.525712627E0;0.000000000E0;0.000000000E0;1.967799950E1;1.625693560E0
1.008507650E2;5.236756840E1;4.878409700E0;4.525695016E0;0.000000000E0;0.000000000E0;2.080699921E1;1.695749164E0
1.208937650E2;5.236760110E1;4.878414700E0;4.425745517E0;0.000000000E0;0.000000000E0;1.765500069E1;1.815222621E0
1.409217650E2;5.236760310E1;4.878410200E0;4.525744205E0;0.000000000E0;0.000000000E0;1.632500076E1;2.584131956E0
1.609067650E2;5.236760510E1;4.878453400E0;4.525772035E0;0.000000000E0;0.000000000E0;1.753599930E1;2.376100779E0
1.808627650E2;5.236762060E1;4.878431300E0;4.525781082E0;0.000000000E0;0.000000000E0;1.687100029E1;1.679677010E0
2.008687650E2;5.236761600E1;4.878418600E0;4.525767247E0;0.000000000E0;0.000000000E0;1.807699966E1;1.648896694E0
2.208757650E2;5.236761150E1;4.878383600E0;4.425742166E0;0.000000000E0;0.000000000E0;1.685600090E1;1.869265795E0
2.409547650E2;5.236760630E1;4.878413000E0;4.525750335E0;0.000000000E0;0.000000000E0;1.596599960E1;1.613724589E0
2.609117650E2;5.236762580E1;4.878426500E0;4.525785631E0;0.000000000E0;0.000000000E0;1.623100090E1;1.568436503E0
2.809087650E2;5.236761280E1;4.878442500E0;4.525776575E0;0.000000000E0;0.000000000E0;1.721199989E1;1.327343822E0
3.009687650E2;5.236762730E1;4.878439200E0;4.525795098E0;0.000000000E0;0.000000000E0;1.455099964E1;1.837555885E0
3.209957650E2;5.236757170E1;4.878386600E0;4.525686292E0;0.000000000E0;0.000000000E0;2.110400009E1;1.498087049E0
3.409697650E2;5.236759250E1;4.878395400E0;4.525720698E0;0.000000000E0;0.000000000E0;1.932099915E1;1.463916779E0
3.610077650E2;5.236758990E1;4.878370300E0;4.525702501E0;0.000000000E0;0.000000000E0;2.020199966E1;1.632997990E0
3.810227650E2;5.236755680E1;4.878404700E0;4.525675774E0;0.000000000E0;0.000000000E0;1.879199982E1;1.497898698E0
4.010187650E2;5.236758020E1;4.878402800E0;4.525707649E0;0.000000000E0;0.000000000E0;2.096500015E1;2.050318003E0
4.210867650E2;5.236758080E1;4.878374300E0;4.525691994E0;0.000000000E0;0.000000000E0;2.059799957E1;2.304839134E0
4.410207650E2;5.236758060E1;4.878391300E0;4.525701555E0;0.000000000E0;0.000000000E0;1.950699997E1;1.463456035E0
4.610877650E2;5.236757670E1;4.878401700E0;4.425703606E0;0.000000000E0;0.000000000E0;1.806299973E1;1.659822226E0
4.811817650E2;5.236760770E1;4.878417900E0;4.525755145E0;0.000000000E0;0.000000000E0;1.661899948E1;2.071753025E0
5.010657650E2;5.236761330E1;4.878420500E0;4.425766068E0;0.000000000E0;0.000000000E0;1.710099983E1;1.600834250E0
5.210977650E2;5.236761250E1;4.878399100E0;4.525751024E0;0.000000000E0;0.000000000E0;1.801799965E1;1.258653998E0
5.410147650E2;5.236760670E1;4.878381700E0;4.525732776E0;0.000000000E0;0.000000000E0;1.855299950E1;1.746042490E0
5.610797650E2;5.236762840E1;4.878434900E0;4.525794158E0;0.000000000E0;0.000000000E0;1.701000023E1;1.370884657E0
5.811157650E2;5.236762330E1;4.878440600E0;4.525790272E0;0.000000000E0;0.000000000E0;1.597799969E1;1.335275292E0
6.011317650E2;5.236759260E1;4.878391100E0;4.525718349E0;0.000000000E0;0.000000000E0;1.651899910E1;1.843950629E0
